categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Personalização,2,Themes: Wallpaper & Widgets,com.flyer.theme,ImoDevel,inventafrica5@gmail.com,https://rhynhawlk.dev/,Personalização,4.6126127,16527,396,1.000.000+,1000000,1371696,1,0,BRL,1,1,"R$ 4,99 – R$ 104,99 por item",Classificação Livre,9 de fev. de 2026,,Varies with device,,"Temas - Deixe seu celular incrível com papéis de parede, widgets e ícones de aplicativos personalizados.",https://play.google.com/store/apps/details?id=com.flyer.theme&hl=pt&gl=br,94,32,85,pequeno/indie,130324,2043.21,7297.19,23715.87,4524.26,39404.83,24430.99,alta,25,4.52,92.0,8.0,"SerpAPI, ScrapingBee"
Personalização,21,"WidgetClub:Tema, Widget, Ícone",com.widgetclub,Liume Inc.,support@liume.jp,https://widget-club.com/,Personalização,4.77,15291,144,1.000.000+,1000000,2906605,1,0,BRL,1,1,"R$ 8,99 – R$ 254,99 por item",Classificação 12 anos,10 de ago. de 2022,1782813987,3.14.26,,"Personalize Android com Widgets, Temas, Ícones, Papel de Parede e Live Wallpaper",https://play.google.com/store/apps/details?id=com.widgetclub&hl=pt&gl=br,69,64,69,normal,343899,19451.6,69470.01,225777.52,43071.4,375138.03,232585.58,alta,25,4.68,88.0,0.0,"SerpAPI, ScrapingBee"
Personalização,19,"Temas: App Ícones, Widgets",com.azmobile.themepack,Maxlabs Personalization Tools,android-support@maxlabs.hk,https://www.maxlabs.hk/,Personalização,4.7359815,56338,1866,5.000.000+,5000000,8514167,1,0,BRL,1,1,"R$ 5,49 – R$ 229,99 por item",Classificação Livre,21 de jul. de 2024,1781081849,1.8.5,,"1000+ temas, ícones e widgets para deixar sua tela inicial única",https://play.google.com/store/apps/details?id=com.azmobile.themepack&hl=pt&gl=br,49,75,67,crescendo,1059825,53549.73,191249.05,621559.41,118574.41,1032744.86,640301.82,alta,25,4.52,88.0,8.0,"SerpAPI, ScrapingBee"
Personalização,5,HyperOS & MIUI Themes,com.intelicarft.miuithemes.android,Wallet Passes Alliance,support.hyperosmiui@walletpasses.me,https://walletpasses.me/hyperosmiui,Personalização,3.81,2890,26,1.000.000+,1000000,1300418,1,0,BRL,1,1,"R$ 5,49 – R$ 549,99 por item",Classificação Livre,1 de set. de 2023,1772695324,4.0.0,,"Personalize o seu dispositivo com os temas mais recentes, papéis de parede e pacotes de ícones incríveis.",https://play.google.com/store/apps/details?id=com.intelicarft.miuithemes.android&hl=pt&gl=br,92,35,67,pequeno/indie,112019,12038.57,42994.89,139733.38,26656.83,232172.38,143946.88,média,25,2.6,40.0,60.0,"SerpAPI, ScrapingBee"
Personalização,18,Lançador OS - Temas e Ícones,com.asianmobile.launcheros,TextSoft.Studio,teammarketing@lutech.ltd,https://lutech.vn/app-ads.txt,Personalização,4.5706873,59198,2466,5.000.000+,5000000,9911610,1,0,BRL,1,1,"R$ 1,29 – R$ 139,99 por item",Classificação Livre,5 de dez. de 2024,1783065229,73,,"Transforme seu Android com launcher elegante, tela inicial, temas & widgets",https://play.google.com/store/apps/details?id=com.asianmobile.launcheros&hl=pt&gl=br,49,59,63,normal,1242411,37993.05,135689.47,440990.77,84127.47,732723.12,454288.34,alta,25,4.68,92.0,4.0,"SerpAPI, ScrapingBee"
Personalização,25,Tema Alpha Hybrid Launcher 4D,launcher.alpha,AppTech Launcher Studios Inc,thealphalauncher@gmail.com,https://arclauncher.com/,Personalização,4.8116593,116426,2387,5.000.000+,5000000,9009707,1,0,BRL,1,1,"R$ 3,99 – R$ 16,99 por item",Classificação Livre,17 de jun. de 2019,1781610682,15.7,,"Temas, Ocultar aplicativos, Bloqueio de aplicativos de impressão digital, Papel",https://play.google.com/store/apps/details?id=launcher.alpha&hl=pt&gl=br,29,64,59,normal,1124431,5741.98,20507.06,66647.96,12714.38,110738.15,68657.65,alta,25,4.52,84.0,4.0,"SerpAPI, ScrapingBee"
Personalização,3,"GO Launcher S – 3D Theme, Wall",com.gau.go.launcherex.s,go live llc,launchersgo@gmail.com,http://golauncher.goforandroid.com,Personalização,4.674286,165691,4489,5.000.000+,5000000,8719998,1,0,BRL,1,1,"R$ 3,79 – R$ 354,99 por item",Classificação Livre,28 de set. de 2018,1756462793,1.21,,GO Launcher S-💎Customize your phone with free themes & HD wallpapers!,https://play.google.com/store/apps/details?id=com.gau.go.launcherex.s&hl=pt&gl=br,29,38,52,normal,905534,45423.0,162225.01,527231.27,100579.5,876015.04,543129.33,alta,25,4.44,80.0,8.0,"SerpAPI, ScrapingBee"
Personalização,24,Live Launcher Lite-3Dwallpaper,com.launcher.light.theme3d,LiveLauncher,livelauncher02@gmail.com,https://launcher-light.web.app,Personalização,3.72549,9878,255,1.000.000+,1000000,3992888,1,0,BRL,1,0,,Classificação Livre,21 de jul. de 2023,1781782723,3.9.1,,O Live Launcher Lite deixa seu telefone sempre fresco e colorido!,https://play.google.com/store/apps/details?id=com.launcher.light.theme3d&hl=pt&gl=br,79,46,49,pequeno/indie,436085,258.55,923.41,3001.08,443.24,4986.41,2393.48,alta,25,3.48,60.0,36.0,"SerpAPI, ScrapingBee"
Personalização,16,ThemePro - temas & wallpapers,com.themekit.lite.widgets.themes,ThemeKit,ThemeKit.Studio@gmail.com,https://site.themekit.live,Personalização,4.6325555,308814,2320,10.000.000+,10000000,24698645,1,0,BRL,1,1,"R$ 1,59 – R$ 84,99 por item",Classificação Livre,7 de mar. de 2024,1782467768,8.4,,"Personalize o telefone com temas estéticos,ícones,widgets 3D e papéis de parede",https://play.google.com/store/apps/details?id=com.themekit.lite.widgets.themes&hl=pt&gl=br,29,77,42,crescendo,3225230,61270.87,218824.53,711179.73,135671.21,1181652.47,732624.53,alta,25,4.56,88.0,12.0,"SerpAPI, ScrapingBee"
Personalização,17,"Themie: Papel de Parede, Temas",com.widget.icon.theme,SebastianBona,jonemanagebona@gmail.com,https://sebastianbona.dev/,Personalização,4.7912254,140063,2291,10.000.000+,10000000,12661030,1,0,BRL,1,1,"R$ 4,99 – R$ 109,99 por item",Classificação Livre,19 de out. de 2025,1782957740,30.0,,"Themie - Personalize o seu ecrã inicial com temas, papéis de parede e widgets",https://play.google.com/store/apps/details?id=com.widget.icon.theme&hl=pt&gl=br,29,65,39,crescendo,1604818,40138.21,143350.76,465889.97,88877.47,774094.11,479938.35,alta,25,4.76,96.0,4.0,"SerpAPI, ScrapingBee"
