run_id,categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
15,Produtividade,6,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.842324,5445,305,100.000+,100000,305733,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1782576802,1.5.30.0628,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,32226,2105.3,7518.94,24436.55,4661.74,40602.26,25173.4,alta,25,4.2,76.0,12.0,"SerpAPI, ScrapingBee"
15,Produtividade,5,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1856,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
14,Produtividade,23,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1858,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
14,Produtividade,9,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.842324,5445,305,100.000+,100000,305733,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1782576802,1.5.30.0628,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,32226,2105.3,7518.94,24436.55,4661.74,40602.26,25173.4,alta,25,4.2,76.0,12.0,"SerpAPI, ScrapingBee"
13,Produtividade,2,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.842324,5445,305,100.000+,100000,305733,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1782576802,1.5.30.0628,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,32226,2105.3,7518.94,24436.55,4661.74,40602.26,25173.4,alta,25,4.2,76.0,12.0,"SerpAPI, ScrapingBee"
13,Produtividade,1,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1858,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
10,Produtividade,18,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1858,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
3,Produtividade,2,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.842324,5445,305,100.000+,100000,305733,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1782576802,1.5.30.0628,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,32226,2105.3,7518.94,24436.55,4661.74,40602.26,25173.4,alta,25,4.2,76.0,12.0,"SerpAPI, ScrapingBee"
3,Produtividade,1,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1856,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
1,Produtividade,6,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1856,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
